Date,XOM
2023-10-02,106.87995910644531
2023-10-03,107.06481170654297
2023-10-04,103.06246948242188
2023-10-05,100.74241638183594
2023-10-06,99.06015014648438
2023-10-09,102.5263671875
2023-10-10,102.09193420410156
2023-10-11,98.43160247802734
2023-10-12,98.4131088256836
2023-10-13,101.55583953857422
2023-10-16,101.62976837158203
2023-10-17,102.96080017089844
2023-10-18,104.40274810791016
2023-10-19,104.46746063232422
2023-10-20,102.67427062988281
2023-10-23,101.16759490966797
2023-10-24,100.18781280517578
2023-10-25,100.3726806640625
2023-10-26,99.45761108398438
2023-10-27,97.56273651123047
2023-10-30,97.86775970458984
2023-10-31,97.84002685546875
2023-11-01,97.64592742919922
2023-11-02,100.85334014892578
2023-11-03,99.62397766113281
2023-11-06,97.8585205078125
2023-11-07,96.32413482666016
